merged_topic_label,total_reviews,avg_vader_sentiment,avg_text_length,avg_readability,bug_keyword_rate,request_keyword_rate,pain_point_flag
Unknown,1101,0.15980826521344232,94.19800181653042,75.53745852590076,0.03996366939146231,0.06357856494096276,False
account recovery issues,64,0.0343875,157.875,73.34317336869115,0.03125,0.109375,True
basic acknowledgments,54,0.28818333333333335,3.462962962962963,48.36796296296299,0.0,0.0,False
beautiful game,17,0.7355588235294118,34.705882352941174,80.34640664961638,0.0,0.0,False
beautiful imagery,12,0.5330916666666666,16.083333333333332,59.09583333333335,0.0,0.0,False
connection issues,24,-0.37855833333333333,112.95833333333333,66.93751388016688,0.125,0.0,False
connectivity issues,118,-0.0780957627118644,130.9322033898305,75.30573944030073,0.288135593220339,0.17796610169491525,True
customer appreciation,15,0.54454,9.666666666666666,114.69666666666669,0.0,0.0,False
cute and playful,38,0.10566842105263159,13.236842105263158,49.92473684210529,0.0,0.0,False
dark system complaints,54,0.04284814814814815,63.2037037037037,69.9788929335177,0.037037037037037035,0.0,False
dark system issues,68,-0.027794117647058827,62.88235294117647,81.53243542453002,0.0,0.029411764705882353,True
dinosaur event challenges,15,-0.17590666666666666,206.66666666666666,76.46848644154915,0.0,0.26666666666666666,True
enjoyable and impressive games,20,0.510005,15.25,74.84825000000002,0.0,0.0,False
enjoyable game,22,0.7450636363636364,86.81818181818181,80.51773749066892,0.0,0.045454545454545456,False
enjoyment and satisfaction,46,0.4858130434782609,13.130434782608695,20.890760869565245,0.0,0.0,False
entertainment and fun,50,0.574814,18.7,98.15960000000001,0.0,0.0,False
excitement and amazement,26,0.4674230769230769,3.8846153846153846,116.26115384615387,0.0,0.0,False
favorite games,14,0.5060071428571428,22.857142857142858,72.82750000000001,0.0,0.0,False
feelings of happiness,28,0.55555,12.142857142857142,52.98092068645643,0.0,0.0,False
free skins appreciation,13,0.8469,124.84615384615384,79.99412831340308,0.0,0.07692307692307693,False
fun and entertainment,56,0.07349464285714287,32.94642857142857,66.26300686183566,0.0,0.017857142857142856,False
game addiction,35,0.2626742857142857,42.0,74.55586167462516,0.0,0.7142857142857143,False
game balance issues,52,-0.0012057692307692325,74.23076923076923,79.64044205600408,0.0,0.0,False
game enjoyment,12,0.5855583333333333,17.0,113.56416666666668,0.0,0.0,False
game enjoyment and community,54,0.39911296296296295,68.07407407407408,93.49787440721462,0.0,0.1111111111111111,False
game experience,13,0.14143846153846157,26.615384615384617,19.434423076923096,0.0,0.0,True
game preference and dissatisfaction,15,0.1586733333333333,183.46666666666667,76.55328348525735,0.06666666666666667,0.2,True
game quality and popularity,23,0.14737826086956524,55.21739130434783,86.42262696382903,0.0,0.0,False
game quality concerns,12,0.56225,108.33333333333333,79.1970580808081,0.0,0.0,True
gameplay and connectivity,18,0.59575,72.16666666666667,89.68170982150374,0.0,0.05555555555555555,False
gameplay frustration,12,-0.22271666666666667,183.58333333333334,56.149883547358456,0.08333333333333333,0.0,False
gaming challenges,20,0.41654500000000005,7.9,112.88425000000002,0.0,0.0,False
gaming experience,39,0.34705384615384616,21.384615384615383,97.3397223828803,0.02564102564102564,0.0,False
graphics and animation,22,0.46235,26.818181818181817,57.56558441558443,0.0,0.0,False
hero characters,21,0.7554619047619047,88.28571428571429,73.34758025962996,0.047619047619047616,0.0,False
impressive aesthetics,23,0.5365217391304348,13.956521739130435,24.970000000000013,0.0,0.043478260869565216,False
in-game purchase issues,37,0.21805405405405404,109.56756756756756,75.5527156364907,0.02702702702702703,0.02702702702702703,False
in-game reporting & penalties,32,-0.20590625,204.15625,61.958929201320835,0.0625,0.15625,True
lack of engagement,14,-0.19933571428571425,22.0,76.13129870129873,0.0,0.0,True
love and friendships,11,0.4928545454545455,39.54545454545455,83.54577922077924,0.0,0.0,False
machine learning appreciation,28,0.5340178571428572,25.892857142857142,101.03788729128017,0.0,0.03571428571428571,False
matchmaking & rank disparity,12,-0.1396916666666667,157.0,70.04386045158397,0.0,0.08333333333333333,True
matchmaking and role selection,19,-0.006757894736842103,184.73684210526315,69.61600131248503,0.05263157894736842,0.15789473684210525,True
matchmaking and team quality,33,-0.20079696969696972,48.75757575757576,81.48832216531824,0.0,0.09090909090909091,True
matchmaking complaints,33,0.154130303030303,74.78787878787878,70.50537504162506,0.0,0.030303030303030304,False
matchmaking concerns,92,0.06988586956521739,138.68478260869566,73.16679023543067,0.010869565217391304,0.11956521739130435,True
matchmaking frustration,22,-0.4086090909090909,293.77272727272725,68.50089212862026,0.045454545454545456,0.13636363636363635,True
matchmaking issues,113,-0.05535398230088495,100.52212389380531,57.26269678845393,0.035398230088495575,0.017699115044247787,False
matchmaking problems,13,-0.2573615384615385,39.84615384615385,78.46434911242605,0.07692307692307693,0.07692307692307693,True
mixed feedback,35,0.3973371428571429,11.657142857142857,110.01397959183676,0.0,0.02857142857142857,False
mixed opinions,45,0.5374911111111111,10.133333333333333,80.93433333333334,0.0,0.0,False
mixed opinions on game,37,0.6098945945945946,20.43243243243243,88.10162162162165,0.0,0.0,False
mixed positive reactions,82,0.1845768292682927,8.841463414634147,89.28256097560978,0.0,0.0,False
mixed reactions,73,0.2013109589041096,6.6438356164383565,37.810342465753436,0.0,0.0,False
mixed update reactions,14,-0.09424285714285714,23.357142857142858,68.24613029827317,0.0,0.07142857142857142,True
moba game reviews,20,0.41868999999999995,123.45,76.27769560474262,0.0,0.1,False
mobile legend praise,17,0.5470235294117647,64.70588235294117,75.81525456076075,0.0,0.11764705882352941,False
mobile legends feedback,46,0.4082847826086957,86.80434782608695,68.02787187534445,0.0,0.10869565217391304,False
mobile legends issues,14,0.0,8.071428571428571,62.729285714285744,0.0,0.0,False
nc games,12,0.0,10.25,107.61375000000002,0.0,0.0,False
negative app updates,22,-0.01638181818181818,82.36363636363636,61.55358233736258,0.0,0.0,False
negative experience,21,-0.4572,10.80952380952381,78.92023809523812,0.0,0.0,True
negative game experience,89,-0.32290224719101124,45.97752808988764,92.25634687545089,0.0,0.0449438202247191,True
player appreciation,53,0.5842698113207547,29.830188679245282,105.16912754282345,0.0,0.0,False
player enjoyment,23,0.6052521739130434,16.695652173913043,116.24760869565218,0.0,0.0,False
playing experience,33,0.6481848484848485,22.727272727272727,105.71000000000002,0.0,0.0,False
playing with friends,19,0.7133263157894737,60.68421052631579,96.05493485461909,0.0,0.0,False
poor bot behavior,23,-0.1289695652173913,139.43478260869566,86.20528900033682,0.0,0.043478260869565216,True
poor matchmaking,84,-0.3576583333333333,41.94047619047619,61.986518409170216,0.03571428571428571,0.023809523809523808,True
poor matchmaking and updates,11,-0.09263636363636364,27.09090909090909,41.3131168831169,0.09090909090909091,0.0,False
positive app experience,16,0.021312499999999998,11.1875,-116.59749999999997,0.0,0.0,False
positive compliments,17,0.559164705882353,13.058823529411764,36.261764705882385,0.0,0.0,False
positive feedback,425,0.41834305882352946,5.508235294117647,109.1302823529412,0.0,0.002352941176470588,False
positive feelings,12,0.5383583333333334,23.916666666666668,107.9398484848485,0.0,0.0,False
positive game experience,98,0.5339132653061225,21.428571428571427,97.20431288099657,0.0,0.0,False
positive game feedback,275,0.464252,12.530909090909091,115.4392661157025,0.0,0.0036363636363636364,False
positive impressions,40,0.4253825,11.125,109.44025000000002,0.0,0.0,False
positive praise,135,0.4638762962962963,11.948148148148148,99.63015873015875,0.0,0.0,False
positive quality,11,0.5831272727272728,16.272727272727273,55.19136363636366,0.0,0.0,False
positive reviews and ratings,33,0.17475454545454544,47.39393939393939,82.34295865898808,0.0,0.030303030303030304,False
positive sentiment,15,0.6369,9.733333333333333,119.19000000000003,0.0,0.0,False
positive vibes,24,0.47395000000000004,13.125,104.11642857142859,0.0,0.0,False
product quality,11,0.3325181818181818,10.727272727272727,23.248181818181845,0.0,0.0,False
promo dias issues,16,-0.1794875,78.6875,73.35802956231306,0.0625,0.0,True
protocol error issues,18,-0.1317388888888889,83.61111111111111,54.464511648745535,0.7777777777777778,0.4444444444444444,False
skin and skins issues,79,0.35490632911392406,92.22784810126582,86.4064219072951,0.012658227848101266,0.08860759493670886,False
skin requests,31,0.0556741935483871,72.58064516129032,74.94051483803962,0.0,0.0,False
solo play challenges,19,-0.29913157894736847,145.1578947368421,66.8665246626807,0.0,0.05263157894736842,True
stress relief,38,0.2775736842105263,52.68421052631579,81.3996578826502,0.02631578947368421,0.02631578947368421,False
superlative praise,30,0.5173633333333333,7.7,-56.473833333333296,0.0,0.0,False
top game experience,26,0.6374538461538463,19.576923076923077,107.30256118881121,0.0,0.0,False
top ratings,34,0.5701058823529412,7.911764705882353,114.66617647058825,0.0,0.0,False
top-rated game,23,0.6203130434782609,26.130434782608695,109.75683794466406,0.0,0.0,False
toxic player behavior,29,-0.1947448275862069,108.58620689655173,71.21514901324639,0.0,0.034482758620689655,True
unfair matchmaking,58,-0.34751206896551723,47.98275862068966,51.61192371570466,0.0,0.0,True
user language and communication,14,0.017264285714285715,62.214285714285715,104.32964285714287,0.0,0.0,False
visuals and graphics,15,0.5694066666666667,19.933333333333334,43.58051515151517,0.0,0.0,False
