id,user,text,rating,likes,app_version,date,emotion,vader_sentiment,text_length,readability,contains_bug_keywords,contains_request_keywords,topic,merged_topic,merged_topic_label,pain_point
60646568-d05f-4644-a3c4-a36351561b1a,A Google user,I thought the game was kind of dumb but it got me some free gambling,5,0,3.5.2171,2025-07-25 23:01:31,anger,0.486,68,95.73000000000002,False,False,-1,6,User Experience,False
c5fbb058-b856-4c63-ab6c-542527be2fdf,A Google user,It would be nice if the game would download and open with out waiting for about ten minutes while my phone sits ideal. I have dumped and reinstalled and still the same. I have been playing almost every day and not a thing has changed. Everything still takes 5 to 10 minutes to open and it does the same thing between spins even when it is on auto spin. So I will try it for another week or so if it doesn't get better then I will dump it for good.,3,0,3.5.2160,2025-07-25 22:56:49,neutral,0.4929,447,82.37958241758245,False,False,7,1,App Loading & Facebook Issues,False
dedf56f5-5139-4dd8-88b2-8c4308d5dde2,A Google user,awesome,5,0,3.5.1915,2025-07-25 22:47:56,joy,0.6249,7,36.62000000000003,False,False,10,8,Positive Feedback,False
0b17d25b-3e7d-4350-a22e-a0e19a3281e3,A Google user,"Fun game, me and my kids enjoyed",5,0,3.5.2160,2025-07-25 22:34:17,joy,0.765,32,103.04428571428575,False,False,15,6,User Experience,False
3464e455-fd1d-45ad-ac5e-636c37a205ba,A Google user,I really enjoy playing this game,5,0,3.5.2166,2025-07-25 22:17:42,joy,0.6779,32,73.84500000000001,False,False,20,7,Enjoyment of the game,False
b2a47eb3-b4fb-40f6-aa97-4c006682e55e,A Google user,Nice game. hope csnmplay thru offline for my cashback.,5,0,3.5.2171,2025-07-25 21:57:23,joy,0.6369,54,75.50000000000003,False,True,-1,6,User Experience,False
4dc42564-6048-43aa-8387-c348fe8502a4,A Google user,nice,5,0,,2025-07-25 21:54:47,neutral,0.4215,4,121.22000000000003,False,False,8,8,Positive Feedback,False
190db8db-a72b-435c-9c81-0e32ef8ef75f,A Google user,I just love it,5,0,3.5.2171,2025-07-25 21:46:19,joy,0.6369,14,118.17500000000001,False,False,44,2,User Appreciation,False
f5b2ef31-f8cb-463a-9fa5-41d3d63dadf4,A Google user,wonderful,5,0,3.5.1400,2025-07-25 21:32:09,surprise,0.5719,9,-47.97999999999996,False,False,11,8,Positive Feedback,False
db77c13e-a157-4b9e-a959-1031cee73a9b,A Google user,wasting of time...,1,0,3.5.2171,2025-07-25 21:29:35,sadness,-0.4019,18,90.99000000000004,False,False,5,6,User Experience,False
030223e9-6f3d-407d-9e2c-8479a583c867,A Google user,play in my free time and I'm never bored,5,0,3.5.2171,2025-07-25 21:20:01,sadness,0.7589,40,103.70000000000002,False,False,5,6,User Experience,False
19a97c7f-fd0f-4201-b5a4-fea8e04a855b,A Google user,Okok,3,0,3.5.2171,2025-07-25 21:11:23,neutral,0.0,4,121.22000000000003,False,False,16,0,Casual Affirmations,False
65b7d70d-35ac-49a2-9d54-79fb42838aba,A Google user,good fun game but the ads are so annoying,4,0,3.5.2171,2025-07-25 20:22:41,joy,-0.3893,41,94.30000000000001,False,False,27,1,App Loading & Facebook Issues,False
0dd8d58d-24e1-455c-a184-c3ab882931b4,A Google user,quick fun!!!,4,0,3.5.2166,2025-07-25 20:01:25,joy,0.6341,12,120.20500000000001,False,False,78,4,Fun and Quick Experience,False
0280da12-2627-430d-93e4-db0f30095771,A Google user,fun game,5,0,3.5.2166,2025-07-25 20:00:15,joy,0.5106,8,120.20500000000001,False,False,15,6,User Experience,False
