id,user,text,rating,likes,app_version,date,text_length,vader_sentiment,emotion,readability,contains_bug_keywords,contains_request_keywords,topic,topic_prob,merged_topic,merged_topic_label,pain_point
6136b234-8491-47cf-9b96-7fae9954a34f,A Google user,too much ads😡 এতো এড দিলে খেলবো কিভাবে?,1,0,18.3.1,2025-07-25 15:47:47,39,0.0,neutral,114.11500000000001,False,False,16,0.9081737245329771,13.0,ad complaints,False
53f9b688-d3b8-4a06-8747-6fcf8a5bc2fd,A Google user,good game,5,0,18.3.1,2025-07-25 15:41:19,9,0.4404,joy,120.20500000000001,False,False,5,1.0,4.0,positive game reviews,False
264bacd2-b1d6-4aed-bccd-bc32ef15911c,A Google user,"please remove hackers from the game i lose lots of money,",1,0,18.2.2,2025-07-25 15:38:31,57,-0.1027,sadness,87.99727272727276,False,True,8,0.8211717714375032,7.0,concerns about hackers,True
01513b89-ccfa-4092-bb13-7795adf920ec,A Google user,🔥😎,5,0,18.3.1,2025-07-25 15:26:35,2,0.1531,neutral,0.0,False,False,3,1.0,2.0,emojis and non-english words,False
8030d548-4646-43ba-bcf0-d88dfe1d3964,A Google user,good night,5,0,18.1.3,2025-07-25 15:16:40,10,0.4404,neutral,120.20500000000001,False,False,57,1.0,45.0,passing time enjoyably,False
5c71d33a-68aa-41ea-9048-3d27584e023b,A Google user,மிகவும் அருமையான பொழுதுபோக்கு விளையாட்டு.,5,0,,2025-07-25 15:12:09,41,0.0,neutral,118.17500000000001,False,False,16,0.2893790037856014,13.0,ad complaints,False
cc88599a-a472-4946-a24e-a95822110cb2,A Google user,best game,5,0,,2025-07-25 14:49:35,9,0.6369,neutral,120.20500000000001,False,False,12,1.0,9.0,best game reviews,False
672243f5-d1f8-46df-8381-0228958ff27f,A Google user,Daimond Das nice,5,0,18.3.1,2025-07-25 14:43:33,16,0.4215,neutral,90.99000000000004,False,False,40,0.5667507497034789,32.0,positive feedback/reviews,False
e0ac1319-f25f-41e2-8e8b-f1d47267f395,A Google user,good app,5,0,18.2.2,2025-07-25 14:31:15,8,0.4404,neutral,120.20500000000001,False,False,51,0.9806276091707392,40.0,"""good app reviews""",False
ec232435-c111-4290-bee8-784e5c15b8b6,A Google user,Entertaining,5,0,18.3.1,2025-07-25 14:28:51,12,0.4404,neutral,-132.57999999999996,False,False,37,1.0,30.0,entertainment value,False
