id,user,text,rating,likes,app_version,date
d1508d21-094c-4048-b211-54ddfc953e25,Randy Byers,so cool,5,1,,2025-07-22 12:14:39
f106e1ec-a915-45cf-8bf9-ece10bb6b1b2,Mark Roberson,so fun I love kin tin thx so much :),5,0,18.0,2025-07-20 09:39:45
4b34027a-c124-4fe2-a74f-0a7fccf6eaca,Cheryl Magan,Nice apo,5,0,18.0,2025-07-19 18:02:43
fa06af78-3d5b-498e-9021-a1f1c2c03f18,Shane scruggs,it's good,4,0,17.9,2025-07-19 12:31:34
8bb6be50-663b-4b7a-a2ca-9e7cabbec70d,Hailey,I thought for years this was a safe app. my kids started watching the gaming minecraft type shows and there is so much bad adult or almost adult content.,1,0,17.9,2025-07-18 08:59:54
3f92b5a8-06f4-4530-bda2-02dd7dd42162,Brianna Esquivel,love it,5,0,18.0,2025-07-17 09:03:43
bda2f0aa-8275-44c1-809c-4a814e2a5a6e,Liam O Dwyer,Its been so good for my son 10/10,5,1,,2025-07-15 00:39:36
cbad9c9b-3207-4865-a957-1d2a52d26803,BLUESCALED REFLECTION,"Will the full series of Gawayn ever arrive on this app? So far only Season 1 is available on Youtube, but it only has 30 episodes. Season 2 is there but completely disorganized with the episodes. Also, it's made by the same person who created Robotboy. Just really hoping I could get around to watching the entirety of The Questers in high quality and in English.",5,5,18.0,2025-07-14 21:32:58
5b4cedde-b2c1-4755-aba8-2c6aaf5bc3c7,Z T,Happy kids is amazing but I'm still waiting for Gabriel bee,4,11,18.0,2025-07-12 19:36:43
7cc5208c-65ad-4e36-bc44-f23729a1d9f6,rose ghost,pretty good mate not good enough):<,4,17,17.9,2025-07-11 09:11:57
9f744ebe-f85c-4f13-9c6d-3b0751436879,gxcha_jxck,TWINKLE TWINKLE LITTLE STAR ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐,5,0,11.0,2025-07-10 16:34:33
7b7bee9c-224b-4dc9-9a56-2fa9272534d4,Andrew Harris,"app does not work on Chromebook. I had used it before and then deleted it. (the app being extemaly buggy and slow) Upon re-downloading it no long loads. PLEASE FIX THIS. Being an app that advertises being free and no ads, you need to make it work for all devices it is downloadable on",2,0,,2025-07-09 19:43:57
c151e10f-4c6f-4708-9028-b5224a73e2fb,Rebekah Spurgeon,"I wanted to love this app since I first found it on my Roku- however, I find myself deleting it from my son's tablet because the lack of ability to control what my son sees is appalling. Let me block channels/videos/content. I can see reviews from 4 years ago where parents were asking for a feature to block content and the developer was ""working on it"". It's still not avaliable and my child copies too many of these kid vloggers and his behavior has become atrocious since downloading this app.",1,4,18.0,2025-07-09 07:46:40
ff07289c-7121-4bdc-b5f0-0bcbec9fb8c8,cindy rogers,wow this is a cool app,5,0,18.0,2025-07-05 18:20:33
4a53a84b-641f-4660-b3d5-7679ab636d3d,Felicia Marie,"honestly, just opened this app for the first time and wish I had a long time ago! it seems to have a lot of content that either I'm ok with my kid watch or actually Want him to be watching; and the content that I don't want him to watch, I can easily block! it also seems like it will be easy for my 3 year old to navigate through without getting frustrated",5,1,17.0,2025-07-03 07:01:27
28890798-7cf8-4e5f-a6c8-361c06ed60b8,Danielle Kelzenberg,is it on good shows,5,0,,2025-07-02 19:24:08
47dde505-d4f5-4aca-a4fa-4874aba3613b,Ryshellia Onarheim,going great with the add,5,1,12.7,2025-06-30 17:35:42
9ea7bc31-6493-4b18-9721-8c12a25d6f64,John Davis,"play , freedom causes do not have to force information, learning happen natural. play, freedom will outdistance those with high advice intelligence quote",5,0,18.0,2025-06-29 11:43:48
9902f689-df96-4d4e-af16-68678e650d08,Heather Harp,it is fon five stors,5,0,18.0,2025-06-27 12:59:51
88693adf-b28b-43cd-8b6f-2d0324174e18,Irene Mawunyo,Good,4,0,18.0,2025-06-26 14:33:38
739321d3-9b89-46e3-8812-7cb5119faf59,Lavinia Panait,amazing app,5,1,17.9,2025-06-24 07:01:06
39f1cc4b-7444-4515-a8e3-4bfc1684be1d,Rowan 16,we LOVE the app so much!!!!,5,0,18.0,2025-06-23 11:55:03
d4012fd2-a044-4a09-ac62-0bd0fe9e693f,Mitu Bhalla,kids rock,5,0,17.9,2025-06-20 04:04:29
