id,user,text,rating,likes,app_version,date,emotion,vader_sentiment,readability,text_length,contains_bug_keywords,contains_request_keywords,topic,merged_topic,merged_topic_label,pain_point
55209a2c-7b6a-412f-851d-40ab822ce94c,A Google user,"this game has a hard pay wall at level 5-32 using every resource I was give. from all avenues, I am still 15k under the power level for a boss fight and getting instantly slaughtered. I've changed my characters gear and comp and none of it matters. im bottled necked to progress by a premium currency i need 2500 of and you barely ever get any I have 200 rn. this is NOT for free players AT ALL so if that's you don't waste your time",1,0,1.172.01,2025-07-25 10:10:16,neutral,-0.2603,78.21653488372095,433,False,False,18,6,Pay-to-Win Costs,False
1a83e5e6-d32f-48f2-a13e-e84ba8afca68,A Google user,what the he'll happened in the last update? before I can play this without problem but after the update the game always lags and crashed. so disappointing. can't even play it now normally,1,0,,2025-07-25 05:20:16,sadness,-0.8793,75.17909090909093,187,True,False,0,6,Pay-to-Win Costs,False
faf4c28f-23a7-4b9a-9abb-0f1ecdbef2c9,A Google user,"a game that doesn't work for the first time you try playing it, interesting",1,0,1.172.01,2025-07-24 15:25:10,surprise,0.5423,83.85357142857143,75,False,False,26,9,Easy to Play,False
e4783f9b-500d-4937-9a1b-a77d1ce6125e,A Google user,disgusting,1,0,,2025-07-24 14:29:09,disgust,-0.5267,-47.97999999999996,10,False,False,-1,6,Pay-to-Win Costs,False
16b853ac-61dc-4a62-bf6d-4489960e75c8,A Google user,"I'm torn whether this is a 5 star game or a 1 star game. fundamentally, it's a dopamine machine with some alright gacha characters. The gameplay leaves some depth to be desired. Especially the monotony on which enemies you are fighting. Also, I would like my response to losing to be more ""how can I change my strategy"" rather than "" how many resources do I need to get."" Just give me the illusion of strategy and choice. I'm still having an ok time playing the game, especially in shorter bursts.",3,0,1.164.01,2025-07-24 11:42:16,neutral,-0.1779,70.64500000000001,497,False,True,51,6,Pay-to-Win Costs,False
e2fd5d64-8227-4629-96b8-355837e82fc0,A Google user,"Contra look-alike, but simple design. Enemies die with 1 shot, so different bullets don't really do much difference. Fun at first but gets repeated and biting real quick. Have a lot more potential if designed as a shooting game, not a ""hero-building"" game like many others.",3,0,1.172.01,2025-07-24 02:08:43,joy,-0.4497,66.42336956521743,273,False,False,-1,6,Pay-to-Win Costs,False
4659e0a2-6f44-4a56-8708-b8eac6ca4958,A Google user,well crafted,5,0,1.172.01,2025-07-23 13:11:38,neutral,0.2732,77.90500000000002,12,False,False,-1,6,Pay-to-Win Costs,False
523ab2af-36a9-4fe7-8a1e-12101c9e1793,A Google user,Love the cartoon animations,3,0,1.172.01,2025-07-23 13:05:17,joy,0.6369,33.57500000000002,27,False,False,-1,6,Pay-to-Win Costs,False
88feab65-690c-4ac6-981a-4b101e2eafa8,A Google user,Потрясающая рисовка; истории героев — отдельная любовь),5,0,1.172.01,2025-07-23 12:20:31,neutral,0.0,116.14500000000001,55,False,False,101,0,Проблемы с аккаунтом,False
fe266334-ee5b-43d4-a67b-4f445cd2877c,A Google user,"trash game, cant even play the game, 1 sta",1,0,1.172.01,2025-07-23 06:30:24,sadness,-0.2584,103.70000000000002,42,False,False,-1,6,Pay-to-Win Costs,False
01ed5491-2ca6-40d0-a85b-71815bd49cd1,A Google user,too long to progress,1,0,1.172.01,2025-07-23 01:44:31,neutral,0.4215,97.025,20,False,False,-1,6,Pay-to-Win Costs,False
dfdb8c1a-bd90-4576-af2e-f167bfbfcd31,A Google user,it's so cool,5,0,1.172.01,2025-07-23 00:45:56,joy,0.3804,119.19000000000003,12,False,False,99,3,Positive Sentiment,False
d1c7e20d-ba19-44d4-9a4f-b622e9125b6d,A Google user,literally had fun when I downloaded it first back when the overlord event was going on but nothing has changed there is no new even no new heros it's dead and not worth my time,1,0,,2025-07-22 21:12:12,joy,-0.9305,57.70428571428573,176,False,False,-1,6,Pay-to-Win Costs,False
dac2894e-eca8-4ea9-b913-82d84dc9e2bb,A Google user,Must provide access to my Google account? nope.,1,0,1.172.01,2025-07-22 11:32:58,neutral,0.0,71.81500000000001,47,False,False,-1,6,Pay-to-Win Costs,False
66201864-a830-4ecb-86ae-92819e8428ba,A Google user,"Obvious money grab. Lazy designs that are reskins of heroes already made. You can play free, BUT you'll accomplish nothing meaningful doing so. Requires you to pay well over the price of any typical MMO monthly subscription in order to keep pace with releases of new heroes that instantly render old heroes useless. Take it from a guy who has played since 2020, the devs care nothing for its players, spending or not. ps. watch out for scammer. they're everywhere",1,0,1.172.01,2025-07-22 10:51:29,neutral,0.9646,66.40166666666669,463,False,False,6,6,Pay-to-Win Costs,False
a190b364-f572-4ab5-828b-328ac20b4faf,A Google user,"Tiene graficos muy bonitos y tiene muchos evento para no aburrirte, me encanta, es muy adictivo, estuve todo el verano prendido a este juego",5,0,1.72.01,2025-07-21 19:16:09,neutral,-0.296,34.42500000000004,140,False,False,2,0,Проблемы с аккаунтом,False
9c133604-4ee5-41f8-8726-15746eee4818,A Google user,Addictive!!,5,0,1.172.01,2025-07-21 11:13:24,disgust,0.0,-47.97999999999996,11,False,True,53,4,Addiction and Engagement,False
90020021-b799-420d-a3d0-767a8adb4727,A Google user,the heck with these crashes. the chat system also... bruh reverse it !!! my suggestion is this. please read carefully my English. Reverse the chat system!,1,2,1.172.01,2025-07-21 00:55:55,surprise,0.6478,80.78183333333337,154,True,True,57,2,Chat System Issues,False
7d735244-cbfe-4f61-9f1a-eb8afbaa5448,A Google user,"Looks good so far, but the game seems to be bugged. Whenever I edit my hero's collection/Artifact, when next I log in, it'll always undo the change and that continues to reduce the power again. I've edited all my hero's collection/artifact more than 10 times but whenever I log in again, it'll go back to the very 1st collection/artifact I used. And also my auto-battle never plays at 4X speed and I don't know why.",3,0,1.172.01,2025-07-20 23:15:56,neutral,-0.0413,61.46775000000001,415,True,False,-1,6,Pay-to-Win Costs,False
fda5b7bf-bc49-492e-bed6-6b6c96bceff9,A Google user,i use to love this game...idk why I stop playing...hmmm let's start again 😀,5,0,,2025-07-20 22:14:50,sadness,0.6705,85.29820512820514,75,False,False,-1,6,Pay-to-Win Costs,False
d85fa690-e07f-4dba-94f3-71eaaacaaa3a,A Google user,great game,4,0,1.172.01,2025-07-20 21:00:42,joy,0.6249,120.20500000000001,10,False,False,9,1,Positive Game Experience,False
03b8edbf-f781-461e-89ef-2830c2a87ca8,A Google user,"I'm taking back the 5 star and just giving this a 1 star, not recommended, pay to win and not worth playing.",1,0,1.99.02,2025-07-20 19:23:53,neutral,0.5641,76.83227272727274,108,False,False,23,6,Pay-to-Win Costs,False
5829ce5f-e011-413b-9c32-612330b767f3,A Google user,its good I suppose still not gotten shimira or shemira,4,0,,2025-07-20 06:55:36,surprise,0.4404,78.24500000000002,54,False,False,6,6,Pay-to-Win Costs,False
beb83e0a-fcc2-416a-806c-f23cee89bcd2,A Google user,nc game very awesome game to play on leisure time,5,0,,2025-07-20 06:27:51,joy,0.7778,86.70500000000001,49,False,False,61,1,Positive Game Experience,False
8ca0af49-7655-4804-aaec-1a05366c9e6d,A Google user,very good game. lots of free rewards,5,0,1.172.01,2025-07-20 01:33:30,joy,0.8622,94.51107142857143,36,False,False,41,6,Pay-to-Win Costs,False
