id,user,text,rating,likes,app_version,date,text_length,vader_sentiment,emotion,readability,contains_bug_keywords,contains_request_keywords,topic,topic_prob,merged_topic,merged_topic_label,pain_point
b2102c8b-2ba1-40b9-a9f0-005cb3331265,A Google user,There is no other experience like this. It's more of a journey that keeps getting better and better. Whoever did the psych work on this one gets an a plus Thank you,5,0,11.07.25700,2025-07-25 12:03:40,164,0.8225,joy,84.97083333333336,False,False,97,0.291782712980761,84.0,transformative experience,False
0b395dbb-8a2d-48b2-a3bf-9a8afa2d85fc,A Google user,"very fun, been playing for a long time",5,0,11.07.25700,2025-07-25 09:29:17,38,0.6865,joy,92.965,False,False,9,0.2542222009821787,8.0,gameplay enjoyment,False
6037512c-c0c0-4925-8123-7091f1a0bd0d,A Google user,"slow moving games, and don't stop playing for a minute or you get thrown out.",2,0,11.07.25700,2025-07-25 07:09:26,77,0.0762,anger,90.09000000000002,False,False,9,0.0839297503155784,8.0,gameplay enjoyment,False
db0a1555-fbbe-4eb6-8961-9f89e0f69302,A Google user,best game I love it so much,1,0,,2025-07-25 03:47:27,27,0.8555,joy,115.13000000000002,False,False,22,0.2368773145466246,19.0,game quality and preference,False
a3667728-9000-4b93-ac68-536a1f6eab39,A Google user,ok,3,0,,2025-07-24 22:11:46,2,0.296,neutral,36.62000000000003,False,False,25,0.41623090100562005,22.0,mixed feelings,False
32ff5346-74d3-498f-9f59-211dd72e8c94,A Google user,fake,1,0,6.0.2600,2025-07-24 21:16:20,4,-0.4767,neutral,121.22000000000003,False,False,-1,0.0,,Unknown,False
f9bdadd8-a9b1-4947-b75f-b0cdc1024ebd,A Google user,"Cool I'd Love to get Five Million Dollars Boss,",5,0,,2025-07-24 18:13:26,47,0.7579,joy,94.30000000000001,False,False,-1,0.0,,Unknown,False
64955ac2-c794-4dc2-944e-a19b19180378,A Google user,"been with it for 5 years, play daily",5,0,11.07.25700,2025-07-24 16:06:44,36,0.34,neutral,103.54,False,False,100,1.0,87.0,long-term usage,False
72954835-fdd1-4774-ba5a-6c2b3d2b0521,A Google user,👍,5,0,,2025-07-24 13:33:17,1,0.0,neutral,0.0,False,False,20,0.9779294422895929,17.0,mixed positive reactions,False
74469d78-bed1-48d8-8f7e-ff10ead4ab17,A Google user,Too many loopholes to get your money. no immediate withdrawal to your account.,1,0,11.07.25700,2025-07-24 11:15:21,78,-0.3125,sadness,57.06826923076926,False,False,1,0.81255374614204,1.0,fraud and scams,True
