id,user,text,rating,likes,app_version,date,text_length,vader_sentiment,emotion,readability,contains_bug_keywords,contains_request_keywords,topic,topic_prob,merged_topic,merged_topic_label,pain_point
3009a2d6-d7c1-4c57-9d9e-e833932a26a2,A Google user,i dont like it make is more better or i aill gove it no starr,1,0,25.3.1.13307,2025-07-25 15:23:10,61,-0.0302,joy,101.37000000000002,False,False,-1,0.0,,Unknown,False
be603795-324c-46ec-9e94-aefabb9e960a,A Google user,Very best game this is copy cat but very good 😊💯,5,0,25.3.1.13307,2025-07-25 11:32:56,48,0.9473,joy,86.70500000000001,False,False,17,1.0,17.0,cat themed games,False
9a1497ef-e236-4585-bef7-15414c9d9f2c,A Google user,my ai said that it's a spyware but I don't think,3,0,25.3.1.13307,2025-07-25 11:01:43,48,0.0,surprise,103.37909090909093,False,False,111,1.0,85.0,app security concerns,False
c669412c-0f00-4277-a54e-75ef31b48493,A Google user,amazing game,5,0,,2025-07-25 10:44:04,12,0.5859,joy,35.60500000000002,False,False,28,0.04886134617424638,26.0,positive game aesthetics,False
85e547d4-c0ad-4853-a43e-c246a0b07e80,A Google user,I love it so so so mutch😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,5,0,25.3.1.13307,2025-07-25 10:19:22,78,0.9996,neutral,115.13000000000002,False,False,-1,0.0,,Unknown,False
a6ebe903-521c-48ca-ada9-8e76bd0211c2,A Google user,this game is good but I heard that if you put 01/01/1999 in tom's name it goes scary so please be careful,3,0,,2025-07-25 09:35:11,105,0.4465,fear,92.21409090909091,False,True,6,1.0,6.0,"""scary glitches and bugs""",True
f59deda4-f84b-4698-801e-087c0b80234a,A Google user,excellent game 🎮,5,0,,2025-07-25 09:24:11,16,0.5719,joy,35.60500000000002,False,False,110,1.0,9.0,positive game reviews,False
6637af77-ae86-46fa-91b1-b0f2b1b0562b,A Google user,it's five but because of ads it deserves 3.,3,0,25.3.1.13307,2025-07-25 09:20:19,43,0.0,neutral,94.30000000000001,False,False,27,0.2906947347746941,25.0,excessive ads complaints,False
8369442d-cbb3-47c9-9098-60351fee40b5,A Google user,Very nice good game,5,0,,2025-07-25 08:34:36,19,0.7408,joy,97.025,False,False,23,1.0,22.0,"""positive game reviews""",False
f8bacca9-afdf-4340-a2e0-1e3600edb633,A Google user,good 👍 100,5,0,25.3.1.13307,2025-07-25 08:15:54,10,0.4404,joy,120.20500000000001,False,False,-1,0.0,,Unknown,False
adcebcd4-6345-41e0-b187-eefd77f5f8b2,A Google user,its really good game 🙂,5,0,25.3.1.13307,2025-07-25 08:14:43,22,0.7096,joy,97.025,False,False,7,0.9708395131234472,7.0,game quality and graphics,False
852d3528-88ce-48fd-aaaa-6b7599461199,A Google user,my childhood,5,0,,2025-07-25 07:47:29,12,0.0,sadness,77.90500000000002,False,False,83,1.0,71.0,childhood memories in games,False
058efd46-a5b9-49d7-8000-0693104d7b55,A Google user,"it is nice, fun and also ( ͡❛ ₃ ͡❛) so cool (▼⌣▼) I love (♥ω♥)  it 😘",5,0,25.2.3.13021,2025-07-25 05:29:16,68,0.9764,joy,102.53230769230771,False,False,26,0.5732226850960598,4.0,positive reactions,False
e294d6a2-664f-408a-b772-42e03a5d9096,A Google user,waw perfikt,5,0,25.3.1.13307,2025-07-25 04:51:32,11,0.0,neutral,77.90500000000002,False,False,-1,0.0,,Unknown,False
1af9a7eb-ce4c-4d36-ae50-bdff8817cf76,A Google user,new to me,5,0,,2025-07-25 04:31:11,9,0.0,surprise,119.19000000000003,False,False,78,0.4314086615544152,67.0,desire for realism,False
